ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
666,Dying Light - Essentials Edition,"3,00$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202603/0308/63ac1d0e60a2dc6f3536a94100dd02fa934ad4e792dbd862.png?w=1024&
669,Dying Light Definitive Edition,13,NULL,,"5,50$",https://image.api.playstation.com/vulcan/ap/rnd/202510/2310/8892b3ed5b317177580ceded686e1b75e99072af61a93c1b.png?w=1024&
685,Fallout 4,"5,00$",,,,https://image.api.playstation.com/cdn/UP1003/CUSA02557_00/j4PdxSxO3optsrP1SxnAqdq6qCmYPd9x.png?w=1024&
685,Fallout 4,"5,00$",,,,https://image.api.playstation.com/cdn/UP1003/CUSA02557_00/j4PdxSxO3optsrP1SxnAqdq6qCmYPd9x.png?w=1024&
695,Far Cry 6 Game of the Year Edition,10,"3,6",,,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&
695,Far Cry 6 Game of the Year Edition,6,,,,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&
695,Far Cry 6 Game of the Year Edition,7,,,,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&
695,Far Cry 6 Game of the Year Edition,"7,5",,,,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&
710,Forza Horizon 5 Deluxe Edition,ND,ND,33,,https://image.api.playstation.com/vulcan/ap/rnd/202502/0323/dd48c217bdc1f833c68a2b02a1df330372f664faa860d762.png?w=1024&
725,Grand Theft Auto Online (PlayStation5),ND,ND,12,,https://image.api.playstation.com/vulcan/ap/rnd/202202/2816/mYn2ETBKFct26V9mJnZi4aSS.png?w=1024&
725,Grand Theft Auto Online (PlayStation5),ND,ND,"8,5",,https://image.api.playstation.com/vulcan/ap/rnd/202202/2816/mYn2ETBKFct26V9mJnZi4aSS.png?w=1024&
728,Grand Theft Auto V (PS4 & PS5),,,,,https://image.api.playstation.com/vulcan/ap/rnd/202203/1409/oltI7Zc96usbdvhVVXcV1EAi.png?w=1024&
743,Hogwarts Legacy: Digital Deluxe Edition,,NULL,"22,00$","5,50$",https://image.api.playstation.com/vulcan/ap/rnd/202503/2716/f9a88585e037ba158ae7d2bae82c1554510958dd206788d5.png?w=1024&
1147,Injustice 2,"3,00$","2,50$",,,https://image.api.playstation.com/vulcan/img/cfn/11307E5KevhsRf1A5fO5J5E6EyFwwYnr6PfrU-17MkMzM7lQz-m0j3Ozngwgx2dRUSpQNOHegfxi7c8dz9nl2DtRdkwDstMw.png?w=1024&
1147,Injustice 2,"6,00$",,,,https://image.api.playstation.com/vulcan/img/cfn/11307E5KevhsRf1A5fO5J5E6EyFwwYnr6PfrU-17MkMzM7lQz-m0j3Ozngwgx2dRUSpQNOHegfxi7c8dz9nl2DtRdkwDstMw.png?w=1024&
755,Injustice 2 - Legendary Edition,7,,7,,https://image.api.playstation.com/cdn/UP1018/CUSA10992_00/yvD6OvUcyKOjdWMRwWAtJuZ7tKWQ6VHv.png?w=1024&
754,Injustice: Gods Among Us Ultimate Edition,8,8,,NULL,https://image.api.playstation.com/cdn/UP1018/CUSA00079_00/aIeLur6wr7JwyUo5wHPf4yX2sAM1DH19.png?w=1024&
757,It Takes Two PS4 & PS5,"10,00$",,"8,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202012/0815/7CRynuLSAb0vysSC4TmZy5e4.png?w=1024&
757,It Takes Two PS4 & PS5,"12,00$",,"12,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202012/0815/7CRynuLSAb0vysSC4TmZy5e4.png?w=1024&
